drug,rho_PHATE_time,rho_UMAP_time
0,0.009577866700924951,-0.003001806128714174
1,0.018378642940518015,-0.0023718498977877765
2,0.03769612386267051,-0.00040300221269289706
3,0.01723624469116105,-0.0015440691768527821
4,-0.0005549906295889185,-0.00012342725576373336
5,0.0467169792851819,0.0026681490289031007
6,-0.0670304717293908,0.001734171013459155
7,0.04556477097633776,0.002157663127311355
8,0.019802837700970608,0.0010020629243878828
9,0.012782785388995868,-0.00021025174308559986
10,0.03077015332418366,0.0015918798535310063
11,-0.04920661735891905,0.0003231509088178137
12,-0.040141128504784615,-0.002732534416620795
13,-0.01760802596401394,-0.004042766055058335
14,-0.01664107997783821,-0.0061890403589025325
15,0.02182042001553001,-0.006329406968279112
16,-0.003485823913914412,0.000864073292215386
17,0.018269022478996106,-0.0005591458879487752
18,0.0010444198882463569,-0.0010418745684413603
19,-0.023265797541911524,-1.832737154900867e-05
20,0.05339809910141404,0.00021847404024943456
21,0.017111839652353977,0.0025091120751932214
22,0.033377654573212664,0.0016355164579486409
23,-0.061881360103541776,-0.0013190037940831775
24,-0.02366460033391088,0.0027920881447179853
25,-0.009555938916716567,-0.004173507793305197
26,0.0345160869387842,0.00036725595082522013
